Rank,Name,Pos,Attempts,Comps,Pass TDs,Pass Yards,Ints,Receptions,Rec Yards,Rec TDs,Rush Yards,Rush TDs,Fumbles,Projections
200,Isaiah Likely,TE,,,,,,37.0,440.0,4.0,,,1.0,103.0
201,Jack Bech,WR,,,,,,39.0,452.0,3.0,5.0,,,102.7
202,Jalen McMillan,WR,,,,,,34.0,448.0,4.0,14.0,,1.0,102.2
203,Chase McLaughlin,K,,,,,,,,,,,,102.0
204,DET,DEF,,,,,,,,,,,,102.0
205,Kyle Williams,WR,,,,,,34.0,480.0,3.0,14.0,,,101.4
206,KC,DEF,,,,,,,,,,,,101.0
207,Elic Ayomanor,WR,,,,,,37.0,436.0,3.0,17.0,,,100.3
208,Daniel Carlson,K,,,,,,,,,,,,100.0
209,Jalen Coker,WR,,,,,,36.0,450.0,3.0,8.0,,,99.8
210,Harrison Butker,K,,,,,,,,,,,,99.0
211,Tyler Loop,K,,,,,,,,,,,,98.0
212,Evan McPherson,K,,,,,,,,,,,,98.0
213,Tyler Bass,K,,,,,,,,,,,,98.0
214,Dont'e Thornton,WR,,,,,,32.0,470.0,3.0,6.0,,,97.6
215,GB,DEF,,,,,,,,,,,,97.0
216,Alec Pierce,WR,,,,,,30.0,490.0,3.0,,,,97.0
217,Ka'imi Fairbairn,K,,,,,,,,,,,,97.0
218,DAL,DEF,,,,,,,,,,,,97.0
219,SF,DEF,,,,,,,,,,,,97.0
220,LAR,DEF,,,,,,,,,,,,97.0
221,Will Reichard,K,,,,,,,,,,,,97.0
222,Matt Gay,K,,,,,,,,,,,,95.0
223,SEA,DEF,,,,,,,,,,,,95.0
224,MIA,DEF,,,,,,,,,,,,95.0
225,Josh Reynolds,WR,,,,,,36.0,470.0,2.0,,,,95.0
226,TB,DEF,,,,,,,,,,,,95.0
227,Chris Boswell,K,,,,,,,,,,,,95.0
228,Jake Elliott,K,,,,,,,,,,,,94.0
229,NYG,DEF,,,,,,,,,,,,94.0
230,Jake Moody,K,,,,,,,,,,,,94.0
231,WAS,DEF,,,,,,,,,,,,94.0
232,Kayshon Boutte,WR,,,,,,32.0,427.0,3.0,6.0,,,93.3
233,Younghoe Koo,K,,,,,,,,,,,,93.0
234,Wil Lutz,K,,,,,,,,,,,,92.0
235,Tyler Higbee,TE,,,,,,38.0,360.0,3.0,,,,92.0
236,Roschon Johnson,RB,,,,,,23.0,162.0,1.0,280.0,3.0,,91.2
237,Brandon McManus,K,,,,,,,,,,,,91.0
238,ARI,DEF,,,,,,,,,,,,91.0
239,CHI,DEF,,,,,,,,,,,,91.0
240,IND,DEF,,,,,,,,,,,,91.0
241,Tutu Atwell,WR,,,,,,34.0,431.0,2.0,17.0,,,90.8
242,Kareem Hunt,RB,,,,,,20.0,142.0,1.0,325.0,3.0,,90.7
243,NE,DEF,,,,,,,,,,,,90.0
244,LAC,DEF,,,,,,,,,,,,90.0
245,Tank Bigsby,RB,,,,,,14.0,101.0,,435.0,4.0,1.0,89.6
246,NYJ,DEF,,,,,,,,,,,,89.0
247,CLE,DEF,,,,,,,,,,,,89.0
